ResearchCenter,Researcher,Topic
MMTN,Elly Agustiani,
MMTN,"Saidah Altway, Dr., S.T., M.T.","Chemistry, Engineering, and Chemical Engineering, with particular expertise in 2-Pentanol, asam Ethanasulfonate, sulfonic Acid, ionic Liquids, cyclic Ether, table Salt, organic Salt, phase Equilibrium, choline Chloride, buffer Solution, deep Eutectic Solvents, piperazine, boiling point, rice Husk Ash, root Mean Square, bioconversion, crop Data, squared Deviation, improvement Factor, experiment Results, hemicellulose, acid Concentration, ethanol Concentration, reducing Sugar, mathematical Model, thermodynamic Model, interaction Parameters, chemical Absorption, initial treatment, saccharification and Fermentation Process, silicon Dioxide, quaternary System, piping System, high Temperature, renewable Resources, pressure (P), atmospheric Pressure, partial Pressure, acetic Acid, carboxylic Acid, sulfuric acid, ethylene, hydrogenation, potash, functional Groups, heavy metal, lumpur, methyl Orange, assistant, polymerization, and propane."
MMTN,"Hosta Ardhyananta, Dr. Eng., S.T., M.Sc.","Materials Science and Engineering, with particular expertise in analysis Thermogravimetry, building material, sandwich Ingredients, barium, film, density, compatibility, electrical Conductivity, shape Memory, sand Casting, surface (Surface Science), high Performance Polymer, rapid Prototyping, seng, glass Fiber, carbon Fiber, wolf, come Left, austenite, the inside part, core Ingredients, smart Buildings, stress-Strain Relationship, carbon Black, panel Construction, modulus Young, organoklay, acid Treatment, compressive Behavior, reinforced Plastic, casting Process, ship Structure, microstructure, room Temperature, attraction, internal Pressure, and charpy Impact Test."
MMTN,"Mochamad Ashari, Prof., Dr., Ir., M.Eng.","Engineering, with particular expertise in genetic Algorithms, firefly Algorithm, partial Shadow, reactive Power, radial Distribution, renewable energy, dC-to-DC converter, induction Motor, compressed Air Motor, particle Swarm Optimization, diesel Power Plant, fuzzy Logic Controller, constant Voltage, engineering Energy, hybrid Power, fixed Point, and vertical Axis Wind Turbine."
MMTN,"Retno Asih, S.Si., M.Si., Ph.D.","Physics, Materials Science, and Chemistry, with particular expertise in saturation Magnetization, dFT calculations, first Principles, absorption Spectroscopy, room Temperature, organic Superconductors, bismuth Ferrite, boron, vacancy Defect, attraction, film, density, electrical Conductivity, single layer, scanning Electron Microscope, heat Treatment, surface (Surface Science), optical Properties, structural Properties, oxidation Reaction, come Left, titanium Dioxide, magnetic Ordering, copper(II) Oxide, density Function Theory, and transition Metal Insulators."
MMTN,"Lukman Atmaja, Drs., M.Si., Ph.D.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in fossil Fuels, doping (Additives), hydrogen Bonding, density, magnesium, graphene oxide, magnetic Particles, surface (Surface Science), physical Properties, cellulose Acetate, building material, diamond, band Gap, acid Electrolytes, geopolimer, property Characterization, pH Condition, managing time, smoking, diesel Engine, ignition Delay, porosity, cylinder Pressure, grafena, clay Minerals, wastewater Treatment, ion Exchange, and chemical Elements."
MMTN,"Malik Anjelh Baqiya, S.Si., M.Si.,Ph.D.","Physics, Materials Science, and Engineering, with particular expertise in cupric, relaxation Round, synchrotron, come Left, absorption Spectroscopy, fine Structure, bismuth Ferrite, boron, doping (Additives), film, capacitance, surface (Surface Science), optical Properties, sodium, zirconia, znO, powder Mix, present Phase, photoemission, space Group, straw, ball Grinder, porosity, state Reaction, fuel Cell, silicon Dioxide, structure Local, melting Temperature, intermediate Temperature, engineering Energy, and volume Sel."
MMTN,"I Made Londen Batan, Prof., Dr.-Ing., Ir., ME","Materials Science, Medicine and Dentistry, and Engineering, with particular expertise in medical Devices, electrical Materials, material Class, metode Taguchi, finite Element Modeling, polypropylene, plastic Products, drawing Process, muscle Weakness, motor Performance, spondylosis Serviks, vital Signs, six Minute Walk Test, cervical Traction, vO2 Maximum, genetic Algorithms, plate Material, road, power of Control, polymer Matrix Composites, parallel Manipulator, forming Boundary Diagrams, heat Generation, image Processing, sound Absorption, alkaline Treatment, ironing Process, robot, and water Turbines."
MMTN,"Darminto, Prof., Dr., M.Sc.","Physics, Materials Science, and Engineering, with particular expertise in anisotropy, cupric, fall Phase, energy Gap (Solid State), temperature Dependence, synchrotron, anil, lithium Ion Battery, boron, attraction, doping (Additives), film, indium Tin Oxide, cathode, density, electrical Conductivity, nanoparticle Silica, surface (Surface Science), electronic Properties, come Left, fourier Transform Infrared Spectroscopy, energy Level, titanium Dioxide, znO, test Results, loss of Reflection, functional Groups, active Layer, powder Metallurgy, microparticles, mixing Solutions, network Analyst, hydrogen Dilution, sound Absorption, annealing Process, vortex, molar Ratio, carbon Nano Fiber, computer Simulation, liquid Structure, structure Local, glass Substrate, engineering Energy, and particle Size."
MMTN,"Ratna Ediati, Prof., Dra., MS., Ph.D.","Materials Science, Engineering, and Chemical Engineering, with particular expertise in nitrogen Adsorption, catalytic Activity, al2O, desorb, enzymatic Hydrolysis, magnetic Composite, solution, magnesium, diffraction Patterns, structural Properties, fourier Transform Infrared Spectroscopy, absorption Spectrum, thermal Stability, pore ​​Size, analysts., znO, light Aggregate, real Wastewater, pozzolan Material, synthesis Materials, reusable, experiment Results, core-Shell, langmuir isotherm, energy Conservation, hexavalent Chromium, aqueous Solution, method Physics, microcrystalline, dye Molecules, washing Behavior, thermodynamic Behavior, mass Percentage, porosity, peak Characteristics, silicon Dioxide, opposite Side, sonokimia, room Temperature, engineering Energy, ultrasonic, in dimethylformamide, phenol, foam Flotation, grafena, hydrogenation, chitosan, methane, methanol, methyl Orange, palm oil, organometalik, natural Polymer, fenton's reaction, isotherm Study, and transesterification."
